Id_review_ROBIS;sort_AMSTAR_levels;RoB_ROBIS;Q11;Q12;Q13;Q14;Q15;Q21;Q22;Q23;Q24;Q25;Q31;Q32;Q33;Q34;Q35;Q41;Q42;Q43;Q44;Q45;Q46;A. Did the interpretation of findings address all of the concerns identified in Domains 1 to 4?;B. Was the relevance of identified studies to the review's research  question appropriately considered?;C. Did the reviewers avoid emphasizing results on the basis of their  statistical significance?;Id_review_ROBIS;Id_reviews_AMSTAR;Q1_AMSTAR;Q2_AMSTAR;Q3_AMSTAR;Q4_AMSTAR;Q5_AMSTAR;Q6_AMSTAR;Q7_AMSTAR;Q8_AMSTAR;Q9_AMSTAR;Q10_AMSTAR;Q11_AMSTAR;AMSTAR_consensus_2;AMSTAR_levels_2
127;20;HIGH;1;2;1;1;2;3;1;1;2;3;1;0;0;3;3;0;0;1;1;0;2;0;1;2;127;127;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
160;215;HIGH;2;1;1;1;1;3;3;2;1;3;3;2;1;0;0;2;0;2;1;0;0;1;1;1;160;160;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
171;104;HIGH;3;2;1;1;1;3;3;2;1;0;0;3;2;0;0;2;2;2;0;3;1;0;2;2;171;171;1;0;1;0;0;1;1;1;0;0;1;6;moderate_quality
188;217;HIGH;0;2;1;1;1;3;3;2;1;3;3;2;1;1;1;3;0;2;0;0;0;1;1;2;188;188;0;1;1;0;0;1;1;1;0;0;1;6;moderate_quality
214;80;HIGH;2;2;1;1;2;3;0;2;2;1;3;0;0;1;0;2;3;3;3;2;1;1;1;1;214;214;0;1;1;1;0;1;0;0;1;1;0;6;moderate_quality
217;110;HIGH;1;3;3;3;3;3;3;0;2;3;0;2;0;1;1;3;3;3;2;3;1;1;1;2;217;217;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
290;167;HIGH;1;3;2;2;2;3;3;1;2;3;3;0;0;0;0;0;3;3;2;2;0;0;1;2;290;290;0;1;1;1;0;1;0;0;1;0;1;6;moderate_quality
291;56;HIGH;0;2;2;1;1;3;2;2;1;3;3;2;1;0;0;3;0;2;0;0;0;0;1;1;291;291;1;1;1;1;0;1;0;1;0;0;0;6;moderate_quality
308;115;HIGH;0;1;1;1;1;3;3;2;1;1;0;2;1;1;1;3;1;2;0;0;1;1;2;2;308;308;0;0;1;1;0;1;1;1;0;0;1;6;moderate_quality
26;64;HIGH;1;2;1;1;0;3;3;1;1;3;3;0;0;0;0;3;2;3;3;3;0;1;2;2;26;26;1;1;1;0;0;0;0;0;1;1;0;5;moderate_quality
62;181;HIGH;1;2;1;2;2;0;0;0;0;0;0;2;1;1;0;2;2;2;2;2;1;1;1;1;62;62;0;0;0;0;0;1;1;1;1;0;1;5;moderate_quality
64;45;HIGH;1;1;1;1;1;3;0;1;1;3;3;0;0;1;1;2;2;2;2;1;1;1;1;2;64;64;0;1;1;0;0;0;1;1;1;0;0;5;moderate_quality
73;161;HIGH;1;1;1;2;2;3;3;2;2;3;3;2;1;2;1;2;1;2;0;0;0;1;2;2;73;73;0;1;1;1;0;1;1;0;0;0;0;5;moderate_quality
75;162;LOW;2;2;1;1;2;3;1;1;2;3;3;2;1;3;2;3;3;3;2;0;2;2;3;2;75;75;0;1;1;0;0;1;1;1;0;0;0;5;moderate_quality
137;73;HIGH;1;1;1;1;1;3;1;1;1;1;0;2;1;0;0;2;0;1;0;0;0;0;0;1;137;137;0;0;1;0;0;1;1;1;0;0;1;5;moderate_quality
197;136;HIGH;1;2;1;1;1;3;0;1;1;1;2;2;1;0;0;3;3;2;2;3;0;0;1;2;197;197;0;0;1;1;0;1;0;0;1;1;0;5;moderate_quality
206;77;HIGH;2;1;1;2;1;3;0;1;1;3;0;1;1;0;0;2;2;2;2;0;0;1;1;1;206;206;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
207;51;HIGH;3;3;1;1;1;3;3;2;1;1;1;2;1;0;0;2;1;2;0;0;0;1;1;1;207;207;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
209;78;HIGH;2;1;1;0;1;3;1;1;1;3;3;1;0;0;0;2;2;1;2;0;0;0;1;2;209;209;1;1;1;0;0;1;0;0;0;0;1;5;moderate_quality
210;52;HIGH;2;2;1;2;1;3;0;1;1;3;1;2;0;0;0;2;2;1;1;0;0;0;1;1;210;210;1;1;1;0;0;1;0;0;0;0;1;5;moderate_quality
215;22;HIGH;1;2;2;2;2;2;2;1;2;2;3;2;1;3;3;3;2;2;2;0;2;1;3;2;215;215;0;0;0;1;0;1;1;1;1;0;0;5;moderate_quality
225;205;HIGH;1;2;1;1;1;3;3;2;1;1;1;2;1;2;1;2;2;2;0;0;2;1;2;2;225;225;0;0;1;1;0;1;1;1;0;0;0;5;moderate_quality
232;23;HIGH;1;1;1;2;1;3;2;1;0;3;3;2;1;0;0;2;3;2;2;0;0;0;1;2;232;232;1;1;1;0;0;0;0;0;1;0;1;5;moderate_quality
233;8;HIGH;2;1;1;2;1;3;1;1;1;3;1;0;0;0;0;2;0;1;2;0;0;0;0;2;233;233;1;0;1;0;0;1;0;0;1;0;1;5;moderate_quality
235;24;HIGH;3;1;1;2;1;3;1;1;0;3;3;0;0;0;0;2;2;2;2;0;0;0;1;2;235;235;1;1;1;0;0;0;0;0;1;0;1;5;moderate_quality
284;26;HIGH;1;1;1;2;1;3;3;1;1;3;0;2;1;0;0;1;0;1;0;0;1;0;1;2;284;284;0;0;1;1;0;1;1;1;0;0;0;5;moderate_quality
288;28;HIGH;1;3;3;2;2;3;3;1;3;0;1;3;1;0;0;2;3;2;3;0;0;1;2;1;288;288;0;0;1;1;0;1;0;0;1;0;1;5;moderate_quality
294;2;HIGH;1;2;2;1;1;1;2;1;1;3;3;2;1;0;0;2;2;2;1;0;0;0;2;2;294;294;0;1;0;1;0;1;0;0;1;1;0;5;moderate_quality
312;186;HIGH;2;2;1;2;1;2;1;2;1;3;1;2;1;1;1;3;0;2;0;0;0;0;2;1;312;312;1;0;1;0;0;1;1;1;0;0;0;5;moderate_quality
319;119;HIGH;1;2;1;2;1;3;1;2;1;3;3;2;1;2;3;1;1;2;0;0;2;1;2;2;319;319;0;1;1;0;0;0;1;1;0;0;1;5;moderate_quality
32;129;HIGH;1;1;1;1;1;3;0;0;1;0;1;2;1;0;0;2;1;2;2;0;0;0;0;1;32;32;0;0;1;0;0;1;0;0;1;0;1;4;low_quality
34;179;HIGH;0;2;1;1;2;3;1;1;2;0;0;2;1;0;0;2;0;1;0;0;0;0;0;2;34;34;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
124;103;HIGH;1;2;1;1;1;3;3;2;1;0;1;2;1;0;0;3;1;1;0;0;0;0;1;1;124;124;0;0;1;0;0;1;1;1;0;0;0;4;low_quality
151;6;HIGH;1;1;1;2;1;0;2;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;2;1;151;151;0;0;0;0;0;1;1;1;0;0;1;4;low_quality
179;135;HIGH;3;1;1;2;1;3;3;2;1;3;3;2;2;0;0;2;2;1;0;0;0;1;1;2;179;179;0;1;1;0;0;1;0;0;0;0;1;4;low_quality
202;203;HIGH;3;2;1;2;1;3;3;2;1;2;3;0;0;0;0;3;3;2;1;0;0;1;2;2;202;202;1;1;1;1;0;0;0;0;0;0;0;4;low_quality
204;50;HIGH;2;2;3;1;1;1;2;1;1;1;3;2;1;1;3;2;0;1;0;0;1;1;2;2;204;204;0;0;0;0;0;1;1;1;0;0;1;4;low_quality
208;204;HIGH;1;1;1;0;0;3;1;1;1;3;3;0;0;0;0;1;0;1;0;0;0;0;0;2;208;208;0;1;1;0;0;1;0;0;0;0;1;4;low_quality
211;79;HIGH;2;0;0;2;1;3;1;1;1;3;1;2;1;0;0;0;1;1;0;0;0;0;0;2;211;211;1;0;1;0;0;1;0;0;0;0;1;4;low_quality
261;81;HIGH;1;1;1;1;1;3;3;2;1;2;1;2;1;1;1;2;2;2;0;0;0;2;1;1;261;261;0;0;1;0;0;1;1;1;0;0;0;4;low_quality
287;27;HIGH;1;2;1;2;2;3;3;2;2;3;1;2;2;1;1;3;1;2;0;0;0;1;2;2;287;287;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
306;57;HIGH;1;2;2;1;1;2;1;2;1;1;1;2;2;0;0;3;2;2;0;0;0;0;1;2;306;306;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
307;84;HIGH;0;2;2;1;1;3;1;2;1;2;1;2;1;1;1;1;0;1;0;0;0;1;2;1;307;307;0;0;1;1;0;1;0;0;0;0;1;4;low_quality
315;117;HIGH;1;2;1;1;1;3;3;2;0;3;3;2;1;1;1;2;0;2;0;0;0;0;1;1;315;315;0;1;1;1;0;1;0;0;0;0;0;4;low_quality
320;11;HIGH;1;1;1;1;1;3;3;3;1;3;3;2;0;0;0;2;0;0;0;0;0;0;1;2;320;320;0;1;1;1;0;0;0;0;0;0;1;4;low_quality
15;178;HIGH;1;1;1;2;2;3;3;1;2;0;1;1;1;0;0;2;0;2;0;0;0;0;1;2;15;15;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
60;130;HIGH;0;1;1;0;0;3;0;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;1;60;60;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
205;108;HIGH;2;1;1;2;1;3;1;1;1;3;1;0;0;0;0;2;2;2;1;1;0;0;1;1;205;205;1;0;0;0;0;0;0;0;1;0;1;3;low_quality
213;109;HIGH;0;1;1;1;1;3;0;1;1;0;0;2;1;0;0;3;0;0;0;0;0;0;1;1;213;213;0;0;1;0;0;1;0;0;0;0;1;3;low_quality
277;185;HIGH;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;2;1;2;0;0;0;0;0;2;277;277;0;0;0;0;1;1;1;0;0;0;0;3;low_quality
278;137;HIGH;0;1;1;1;2;0;0;0;2;0;0;1;1;0;0;2;1;1;0;0;0;0;0;2;278;278;0;0;0;0;0;1;1;1;0;0;0;3;low_quality
279;218;HIGH;0;2;0;1;1;0;2;0;1;0;0;1;1;0;0;2;1;1;0;0;0;0;0;2;279;279;0;0;0;0;0;1;1;1;0;0;0;3;low_quality
283;138;HIGH;2;1;1;1;1;2;3;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;283;283;0;0;1;1;0;1;0;0;0;0;0;3;low_quality
286;55;HIGH;1;2;1;2;2;3;3;1;2;1;1;2;2;3;3;2;1;2;2;0;0;1;2;2;286;286;0;0;1;1;0;0;0;0;0;0;1;3;low_quality
303;30;HIGH;1;2;1;1;1;0;0;1;1;0;0;2;2;0;0;2;0;1;0;0;0;0;1;1;303;303;1;0;0;0;0;1;0;0;0;0;1;3;low_quality
90;163;HIGH;0;0;0;1;1;2;1;1;1;1;1;2;1;0;0;2;0;1;0;0;0;0;0;2;90;90;0;0;1;0;0;1;0;0;0;0;0;2;low_quality
105;69;HIGH;0;1;1;1;0;0;0;1;0;0;0;2;1;0;0;1;2;2;0;0;0;0;0;2;105;105;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
130;48;HIGH;0;1;1;1;0;0;0;0;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;1;130;130;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
131;164;HIGH;1;2;1;2;1;3;1;2;1;0;1;2;1;0;0;2;0;2;0;0;0;0;1;2;131;131;0;0;1;0;0;1;0;0;0;0;0;2;low_quality
170;133;HIGH;0;2;1;1;0;0;0;1;1;0;0;2;1;0;0;2;0;1;0;0;0;0;1;1;170;170;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
260;112;HIGH;0;0;1;2;2;1;2;1;2;0;0;2;1;0;0;2;1;1;0;0;0;0;0;0;260;260;0;0;0;0;0;1;0;0;0;0;1;2;low_quality
139;5;HIGH;0;1;1;1;1;3;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;139;139;0;0;1;0;0;0;0;0;0;0;0;1;low_quality
187;105;HIGH;0;2;1;1;1;0;0;0;2;0;0;2;1;0;0;3;2;2;0;0;0;0;0;2;187;187;0;0;0;0;0;1;0;0;0;0;0;1;low_quality
143;74;HIGH;1;2;2;1;2;3;2;2;2;2;3;2;1;1;3;2;3;2;2;2;1;1;2;2;143;143;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;low_quality
